Mod:Item:MetaData, Localized Name
forestry:planks.fireproof.1:6, Maple Wood Planks (Fireproof)
forestry:planks.fireproof.1:7, Citrus Wood Planks (Fireproof)
forestry:planks.fireproof.1:8, Giant Sequoia Wood Planks (Fireproof)
forestry:planks.fireproof.1:9, Ipe Wood Planks (Fireproof)
forestry:planks.fireproof.1:10, Padauk Wood Planks (Fireproof)
forestry:planks.fireproof.1:11, Cocobolo Wood Planks (Fireproof)
forestry:planks.fireproof.1:12, Zebrawood Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:0, Oak Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:1, Spruce Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:2, Birch Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:3, Jungle Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:4, Acacia Wood Planks (Fireproof)
forestry:planks.vanilla.fireproof.0:5, Dark Oak Wood Planks (Fireproof)
forestry:slabs.0:0, Larch Wood Slab
forestry:slabs.0:1, Teak Wood Slab
forestry:slabs.0:2, Desert Acacia Wood Slab
forestry:slabs.0:3, Lime Wood Slab
forestry:slabs.0:4, Chestnut Wood Slab
forestry:slabs.0:5, Wenge Wood Slab
forestry:slabs.0:6, Baobab Wood Slab
forestry:slabs.0:7, Sequoia Wood Slab
forestry:slabs.1:0, Kapok Wood Slab
forestry:slabs.1:1, Ebony Wood Slab
forestry:slabs.1:2, Mahogany Wood Slab
forestry:slabs.1:3, Balsa Wood Slab
forestry:slabs.1:4, Willow Wood Slab
forestry:slabs.1:5, Walnut Wood Slab
forestry:slabs.1:6, Greenheart Wood Slab
forestry:slabs.1:7, Cherry Wood Slab
forestry:slabs.2:0, Mahoe Wood Slab
forestry:slabs.2:1, Poplar Wood Slab
forestry:slabs.2:2, Palm Wood Slab
forestry:slabs.2:3, Papaya Wood Slab
forestry:slabs.2:4, Pine Wood Slab
forestry:slabs.2:5, Plum Wood Slab
forestry:slabs.2:6, Maple Wood Slab
forestry:slabs.2:7, Citrus Wood Slab
forestry:slabs.3:0, Giant Sequoia Wood Slab
forestry:slabs.3:1, Ipe Wood Slab
forestry:slabs.3:2, Padauk Wood Slab
forestry:slabs.3:3, Cocobolo Wood Slab
forestry:slabs.3:4, Zebrawood Wood Slab
forestry:slabs.fireproof.0:0, Larch Wood Slab (Fireproof)
forestry:slabs.fireproof.0:1, Teak Wood Slab (Fireproof)
forestry:slabs.fireproof.0:2, Desert Acacia Wood Slab (Fireproof)
forestry:slabs.fireproof.0:3, Lime Wood Slab (Fireproof)
forestry:slabs.fireproof.0:4, Chestnut Wood Slab (Fireproof)
forestry:slabs.fireproof.0:5, Wenge Wood Slab (Fireproof)
forestry:slabs.fireproof.0:6, Baobab Wood Slab (Fireproof)
forestry:slabs.fireproof.0:7, Sequoia Wood Slab (Fireproof)
forestry:slabs.fireproof.1:0, Kapok Wood Slab (Fireproof)
forestry:slabs.fireproof.1:1, Ebony Wood Slab (Fireproof)
forestry:slabs.fireproof.1:2, Mahogany Wood Slab (Fireproof)
forestry:slabs.fireproof.1:3, Balsa Wood Slab (Fireproof)
forestry:slabs.fireproof.1:4, Willow Wood Slab (Fireproof)
forestry:slabs.fireproof.1:5, Walnut Wood Slab (Fireproof)
forestry:slabs.fireproof.1:6, Greenheart Wood Slab (Fireproof)
forestry:slabs.fireproof.1:7, Cherry Wood Slab (Fireproof)
forestry:slabs.fireproof.2:0, Mahoe Wood Slab (Fireproof)
forestry:slabs.fireproof.2:1, Poplar Wood Slab (Fireproof)
forestry:slabs.fireproof.2:2, Palm Wood Slab (Fireproof)
forestry:slabs.fireproof.2:3, Papaya Wood Slab (Fireproof)
forestry:slabs.fireproof.2:4, Pine Wood Slab (Fireproof)
forestry:slabs.fireproof.2:5, Plum Wood Slab (Fireproof)
forestry:slabs.fireproof.2:6, Maple Wood Slab (Fireproof)
forestry:slabs.fireproof.2:7, Citrus Wood Slab (Fireproof)
forestry:slabs.fireproof.3:0, Giant Sequoia Wood Slab (Fireproof)
forestry:slabs.fireproof.3:1, Ipe Wood Slab (Fireproof)
forestry:slabs.fireproof.3:2, Padauk Wood Slab (Fireproof)
forestry:slabs.fireproof.3:3, Cocobolo Wood Slab (Fireproof)
forestry:slabs.fireproof.3:4, Zebrawood Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:0, Oak Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:1, Spruce Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:2, Birch Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:3, Jungle Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:4, Acacia Wood Slab (Fireproof)
forestry:slabs.vanilla.fireproof.0:5, Dark Oak Wood Slab (Fireproof)
forestry:fences.0:0, Larch Fence
forestry:fences.0:1, Teak Fence
forestry:fences.0:2, Desert Acacia Fence
forestry:fences.0:3, Lime Fence
forestry:fences.0:4, Chestnut Fence
forestry:fences.0:5, Wenge Fence
forestry:fences.0:6, Baobab Fence
forestry:fences.0:7, Sequoia Fence
forestry:fences.0:8, Kapok Fence
forestry:fences.0:9, Ebony Fence
forestry:fences.0:10, Mahogany Fence
forestry:fences.0:11, Balsa Fence
forestry:fences.0:12, Willow Fence
forestry:fences.0:13, Walnut Fence
forestry:fences.0:14, Greenheart Fence
forestry:fences.0:15, Cherry Fence
forestry:fences.1:0, Mahoe Fence
forestry:fences.1:1, Poplar Fence
forestry:fences.1:2, Palm Fence
forestry:fences.1:3, Papaya Fence
forestry:fences.1:4, Pine Fence
forestry:fences.1:5, Plum Fence
forestry:fences.1:6, Maple Fence
forestry:fences.1:7, Citrus Fence
forestry:fences.1:8, Giant Sequoia Fence
forestry:fences.1:9, Ipe Fence
forestry:fences.1:10, Padauk Fence
forestry:fences.1:11, Cocobolo Fence
forestry:fences.1:12, Zebrawood Fence
forestry:fences.fireproof.0:0, Larch Fence (Fireproof)
forestry:fences.fireproof.0:1, Teak Fence (Fireproof)
forestry:fences.fireproof.0:2, Desert Acacia Fence (Fireproof)
forestry:fences.fireproof.0:3, Lime Fence (Fireproof)
forestry:fences.fireproof.0:4, Chestnut Fence (Fireproof)
forestry:fences.fireproof.0:5, Wenge Fence (Fireproof)
forestry:fences.fireproof.0:6, Baobab Fence (Fireproof)
forestry:fences.fireproof.0:7, Sequoia Fence (Fireproof)
forestry:fences.fireproof.0:8, Kapok Fence (Fireproof)
forestry:fences.fireproof.0:9, Ebony Fence (Fireproof)
forestry:fences.fireproof.0:10, Mahogany Fence (Fireproof)
forestry:fences.fireproof.0:11, Balsa Fence (Fireproof)
forestry:fences.fireproof.0:12, Willow Fence (Fireproof)
forestry:fences.fireproof.0:13, Walnut Fence (Fireproof)
forestry:fences.fireproof.0:14, Greenheart Fence (Fireproof)
forestry:fences.fireproof.0:15, Cherry Fence (Fireproof)
forestry:fences.fireproof.1:0, Mahoe Fence (Fireproof)
forestry:fences.fireproof.1:1, Poplar Fence (Fireproof)
forestry:fences.fireproof.1:2, Palm Fence (Fireproof)
forestry:fences.fireproof.1:3, Papaya Fence (Fireproof)
forestry:fences.fireproof.1:4, Pine Fence (Fireproof)
forestry:fences.fireproof.1:5, Plum Fence (Fireproof)
forestry:fences.fireproof.1:6, Maple Fence (Fireproof)
forestry:fences.fireproof.1:7, Citrus Fence (Fireproof)
forestry:fences.fireproof.1:8, Giant Sequoia Fence (Fireproof)
forestry:fences.fireproof.1:9, Ipe Fence (Fireproof)
forestry:fences.fireproof.1:10, Padauk Fence (Fireproof)
forestry:fences.fireproof.1:11, Cocobolo Fence (Fireproof)
forestry:fences.fireproof.1:12, Zebrawood Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:0, Oak Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:1, Spruce Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:2, Birch Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:3, Jungle Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:4, Acacia Fence (Fireproof)
forestry:fences.vanilla.fireproof.0:5, Dark Oak Fence (Fireproof)
forestry:fence.gates.larch:0, Larch Fence Gate
forestry:fence.gates.fireproof.larch:0, Larch Fence Gate (Fireproof)
forestry:fence.gates.teak:0, Teak Fence Gate
forestry:fence.gates.fireproof.teak:0, Teak Fence Gate (Fireproof)
forestry:fence.gates.acacia:0, Desert Acacia Fence Gate
forestry:fence.gates.fireproof.acacia:0, Desert Acacia Fence Gate (Fireproof)
forestry:fence.gates.lime:0, Lime Fence Gate
forestry:fence.gates.fireproof.lime:0, Lime Fence Gate (Fireproof)
forestry:fence.gates.chestnut:0, Chestnut Fence Gate
forestry:fence.gates.fireproof.chestnut:0, Chestnut Fence Gate (Fireproof)
forestry:fence.gates.wenge:0, Wenge Fence Gate
forestry:fence.gates.fireproof.wenge:0, Wenge Fence Gate (Fireproof)
forestry:fence.gates.baobab:0, Baobab Fence Gate
forestry:fence.gates.fireproof.baobab:0, Baobab Fence Gate (Fireproof)
forestry:fence.gates.sequoia:0, Sequoia Fence Gate
forestry:fence.gates.fireproof.sequoia:0, Sequoia Fence Gate (Fireproof)
forestry:fence.gates.kapok:0, Kapok Fence Gate
forestry:fence.gates.fireproof.kapok:0, Kapok Fence Gate (Fireproof)
forestry:fence.gates.ebony:0, Ebony Fence Gate
forestry:fence.gates.fireproof.ebony:0, Ebony Fence Gate (Fireproof)
forestry:fence.gates.mahogany:0, Mahogany Fence Gate
forestry:fence.gates.fireproof.mahogany:0, Mahogany Fence Gate (Fireproof)
forestry:fence.gates.balsa:0, Balsa Fence Gate
forestry:fence.gates.fireproof.balsa:0, Balsa Fence Gate (Fireproof)
forestry:fence.gates.willow:0, Willow Fence Gate
forestry:fence.gates.fireproof.willow:0, Willow Fence Gate (Fireproof)
forestry:fence.gates.walnut:0, Walnut Fence Gate
forestry:fence.gates.fireproof.walnut:0, Walnut Fence Gate (Fireproof)
forestry:fence.gates.greenheart:0, Greenheart Fence Gate
forestry:fence.gates.fireproof.greenheart:0, Greenheart Fence Gate (Fireproof)
forestry:fence.gates.cherry:0, Cherry Fence Gate
forestry:fence.gates.fireproof.cherry:0, Cherry Fence Gate (Fireproof)
forestry:fence.gates.mahoe:0, Mahoe Fence Gate
forestry:fence.gates.fireproof.mahoe:0, Mahoe Fence Gate (Fireproof)
forestry:fence.gates.poplar:0, Poplar Fence Gate
forestry:fence.gates.fireproof.poplar:0, Poplar Fence Gate (Fireproof)
forestry:fence.gates.palm:0, Palm Fence Gate
forestry:fence.gates.fireproof.palm:0, Palm Fence Gate (Fireproof)
forestry:fence.gates.papaya:0, Papaya Fence Gate
forestry:fence.gates.fireproof.papaya:0, Papaya Fence Gate (Fireproof)
forestry:fence.gates.pine:0, Pine Fence Gate
forestry:fence.gates.fireproof.pine:0, Pine Fence Gate (Fireproof)
forestry:fence.gates.plum:0, Plum Fence Gate
forestry:fence.gates.fireproof.plum:0, Plum Fence Gate (Fireproof)
forestry:fence.gates.maple:0, Maple Fence Gate
forestry:fence.gates.fireproof.maple:0, Maple Fence Gate (Fireproof)
forestry:fence.gates.citrus:0, Citrus Fence Gate
forestry:fence.gates.fireproof.citrus:0, Citrus Fence Gate (Fireproof)
forestry:fence.gates.giganteum:0, Giant Sequoia Fence Gate
forestry:fence.gates.fireproof.giganteum:0, Giant Sequoia Fence Gate (Fireproof)
forestry:fence.gates.ipe:0, Ipe Fence Gate
forestry:fence.gates.fireproof.ipe:0, Ipe Fence Gate (Fireproof)
forestry:fence.gates.padauk:0, Padauk Fence Gate
forestry:fence.gates.fireproof.padauk:0, Padauk Fence Gate (Fireproof)
forestry:fence.gates.cocobolo:0, Cocobolo Fence Gate
forestry:fence.gates.fireproof.cocobolo:0, Cocobolo Fence Gate (Fireproof)
forestry:fence.gates.zebrawood:0, Zebrawood Fence Gate
forestry:fence.gates.fireproof.zebrawood:0, Zebrawood Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.oak:0, Oak Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.spruce:0, Spruce Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.birch:0, Birch Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.jungle:0, Jungle Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.acacia:0, Acacia Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.dark_oak:0, Dark Oak Fence Gate (Fireproof)
forestry:stairs.larch:0, Larch Stairs
forestry:stairs.teak:0, Teak Stairs
forestry:stairs.acacia:0, Desert Acacia Stairs
forestry:stairs.lime:0, Lime Stairs
forestry:stairs.chestnut:0, Chestnut Stairs
forestry:stairs.wenge:0, Wenge Stairs
forestry:stairs.baobab:0, Baobab Stairs
forestry:stairs.sequoia:0, Sequoia Stairs
forestry:stairs.kapok:0, Kapok Stairs
forestry:stairs.ebony:0, Ebony Stairs
forestry:stairs.mahogany:0, Mahogany Stairs
forestry:stairs.balsa:0, Balsa Stairs
forestry:stairs.willow:0, Willow Stairs
forestry:stairs.walnut:0, Walnut Stairs
forestry:stairs.greenheart:0, Greenheart Stairs
forestry:stairs.cherry:0, Cherry Stairs
forestry:stairs.mahoe:0, Mahoe Stairs
forestry:stairs.poplar:0, Poplar Stairs
forestry:stairs.palm:0, Palm Stairs
forestry:stairs.papaya:0, Papaya Stairs
forestry:stairs.pine:0, Pine Stairs
forestry:stairs.plum:0, Plum Stairs
forestry:stairs.maple:0, Maple Stairs
forestry:stairs.citrus:0, Citrus Stairs
forestry:stairs.giganteum:0, Giant Sequoia Stairs
forestry:stairs.ipe:0, Ipe Stairs
forestry:stairs.padauk:0, Padauk Stairs
forestry:stairs.cocobolo:0, Cocobolo Stairs
forestry:stairs.zebrawood:0, Zebrawood Stairs
forestry:stairs.fireproof.larch:0, Larch Stairs (Fireproof)
forestry:stairs.fireproof.teak:0, Teak Stairs (Fireproof)
forestry:stairs.fireproof.acacia:0, Desert Acacia Stairs (Fireproof)
forestry:stairs.fireproof.lime:0, Lime Stairs (Fireproof)
forestry:stairs.fireproof.chestnut:0, Chestnut Stairs (Fireproof)
forestry:stairs.fireproof.wenge:0, Wenge Stairs (Fireproof)
forestry:stairs.fireproof.baobab:0, Baobab Stairs (Fireproof)
forestry:stairs.fireproof.sequoia:0, Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.kapok:0, Kapok Stairs (Fireproof)
forestry:stairs.fireproof.ebony:0, Ebony Stairs (Fireproof)
forestry:stairs.fireproof.mahogany:0, Mahogany Stairs (Fireproof)
forestry:stairs.fireproof.balsa:0, Balsa Stairs (Fireproof)
forestry:stairs.fireproof.willow:0, Willow Stairs (Fireproof)
forestry:stairs.fireproof.walnut:0, Walnut Stairs (Fireproof)
forestry:stairs.fireproof.greenheart:0, Greenheart Stairs (Fireproof)
forestry:stairs.fireproof.cherry:0, Cherry Stairs (Fireproof)
forestry:stairs.fireproof.mahoe:0, Mahoe Stairs (Fireproof)
forestry:stairs.fireproof.poplar:0, Poplar Stairs (Fireproof)
forestry:stairs.fireproof.palm:0, Palm Stairs (Fireproof)
forestry:stairs.fireproof.papaya:0, Papaya Stairs (Fireproof)
forestry:stairs.fireproof.pine:0, Pine Stairs (Fireproof)
forestry:stairs.fireproof.plum:0, Plum Stairs (Fireproof)
forestry:stairs.fireproof.maple:0, Maple Stairs (Fireproof)
forestry:stairs.fireproof.citrus:0, Citrus Stairs (Fireproof)
forestry:stairs.fireproof.giganteum:0, Giant Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.ipe:0, Ipe Stairs (Fireproof)
forestry:stairs.fireproof.padauk:0, Padauk Stairs (Fireproof)
forestry:stairs.fireproof.cocobolo:0, Cocobolo Stairs (Fireproof)
forestry:stairs.fireproof.zebrawood:0, Zebrawood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.oak:0, Oak Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.spruce:0, Spruce Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.birch:0, Birch Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.jungle:0, Jungle Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.acacia:0, Acacia Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.dark_oak:0, Dark Oak Wood Stairs (Fireproof)
forestry:doors.larch:0, Larch Door
forestry:doors.teak:0, Teak Door
forestry:doors.acacia:0, Desert Acacia Door
forestry:doors.lime:0, Lime Door
forestry:doors.chestnut:0, Chestnut Door
forestry:doors.wenge:0, Wenge Door
forestry:doors.baobab:0, Baobab Door
forestry:doors.sequoia:0, Sequoia Door
forestry:doors.kapok:0, Kapok Door
forestry:doors.ebony:0, Ebony Door
forestry:doors.mahogany:0, Mahogany Door
forestry:doors.balsa:0, Balsa Door
forestry:doors.willow:0, Willow Door
forestry:doors.walnut:0, Walnut Door
forestry:doors.greenheart:0, Greenheart Door
forestry:doors.cherry:0, Cherry Door
forestry:doors.mahoe:0, Mahoe Door
forestry:doors.poplar:0, Poplar Door
forestry:doors.palm:0, Palm Door
forestry:doors.papaya:0, Papaya Door
forestry:doors.pine:0, Pine Door
forestry:doors.plum:0, Plum Door
forestry:doors.maple:0, Maple Door
forestry:doors.citrus:0, Citrus Door
forestry:doors.giganteum:0, Giant Sequoia Door
forestry:doors.ipe:0, Ipe Door
forestry:doors.padauk:0, Padauk Door
forestry:doors.cocobolo:0, Cocobolo Door
forestry:doors.zebrawood:0, Zebrawood Door
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Apple Oak Leaves
forestry:leaves.decorative.0:1, Dark Oak Leaves
forestry:leaves.decorative.0:2, Silver Birch Leaves
forestry:leaves.decorative.0:3, Silver Lime Leaves
forestry:leaves.decorative.0:4, Common Walnut Leaves
forestry:leaves.decorative.0:5, Sweet Chestnut Leaves
forestry:leaves.decorative.0:6, Hill Cherry Leaves
forestry:leaves.decorative.0:7, Lemon Leaves
forestry:leaves.decorative.0:8, Plum Leaves
forestry:leaves.decorative.0:9, Sugar Maple Leaves
forestry:leaves.decorative.0:10, Red Spruce Leaves
forestry:leaves.decorative.0:11, Mundane Larch Leaves
forestry:leaves.decorative.0:12, Bull Pine Leaves
forestry:leaves.decorative.0:13, Coast Sequoia Leaves
forestry:leaves.decorative.0:14, Giant Sequoia Leaves
forestry:leaves.decorative.0:15, Jungle Leaves
forestry:leaves.decorative.1:0, Teak Leaves
forestry:leaves.decorative.1:1, Ipe Leaves
forestry:leaves.decorative.1:2, Kapok Leaves
forestry:leaves.decorative.1:3, Myrtle Ebony Leaves
forestry:leaves.decorative.1:4, Zebrawood Leaves
forestry:leaves.decorative.1:5, Yellow Meranti Leaves
forestry:leaves.decorative.1:6, Acacia Leaves
forestry:leaves.decorative.1:7, Desert Acacia Leaves
forestry:leaves.decorative.1:8, Padauk Leaves
forestry:leaves.decorative.1:9, Balsa Leaves
forestry:leaves.decorative.1:10, Cocobolo Leaves
forestry:leaves.decorative.1:11, Wenge Leaves
forestry:leaves.decorative.1:12, Grandidier's Baobab Leaves
forestry:leaves.decorative.1:13, Blue Mahoe Leaves
forestry:leaves.decorative.1:14, White Willow Leaves
forestry:leaves.decorative.1:15, Sipiri Leaves
forestry:leaves.decorative.2:0, Papaya Leaves
forestry:leaves.decorative.2:1, Date Palm Leaves
forestry:leaves.decorative.2:2, White Poplar Leaves
forestry:tree_chest:0, Arborist's Chest
forestry:butterfly_chest:0, Lepidopterist's Chest
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:honeyed_slice, Honeyed Slice
forestry:ambrosia, Ambrosia
forestry:honey_pot, Honey Pot
forestry:crate, Crate
forestry:apiarist_bag, Apiarist's Backpack
forestry:lepidopterist_bag, Lepidopterist's Backpack
forestry:miner_bag, Mining Backpack
forestry:miner_bag_t2, Woven Mining Backpack
forestry:digger_bag, Digging Backpack
forestry:digger_bag_t2, Woven Digging Backpack
forestry:forester_bag, Foresting Backpack
forestry:forester_bag_t2, Woven Foresting Backpack
forestry:hunter_bag, Hunting Backpack
forestry:hunter_bag_t2, Woven Hunting Backpack
forestry:adventurer_bag, Adventuring Backpack
forestry:adventurer_bag_t2, Woven Adventuring Backpack
forestry:builder_bag, Building Backpack
forestry:builder_bag_t2, Woven Building Backpack
forestry:greenhouse:0, Greenhouse Block
forestry:greenhouse:3, Greenhouse Energy Distributor
forestry:greenhouse:4, Greenhouse Control
forestry:greenhouse:5, Greenhouse Screen
forestry:climatiser:0, Greenhouse Hygroregulator
forestry:climatiser:1, Greenhouse Heater
forestry:climatiser:2, Greenhouse Fan
forestry:climatiser:3, Greenhouse Humidifier
forestry:climatiser:4, Greenhouse Dehumidifier
forestry:greenhouse.window:0, Greenhouse Window
forestry:greenhouse.window_up:0, Greenhouse Roof Window
forestry:habitat_former:0, Habitat Former
forestry:habitat_screen, Habitat Screen
forestry:engine_electrical:0, Electrical Engine
forestry:engine_generator:0, Bio Generator
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
microblockcbe:saw_stone, Stone Saw
microblockcbe:saw_iron, Iron Saw
microblockcbe:saw_diamond, Diamond Saw
microblockcbe:stone_rod, Stone Rod
nuclearcraft:ore:0, Copper Ore
nuclearcraft:ore:1, Tin Ore
nuclearcraft:ore:2, Lead Ore
nuclearcraft:ore:3, Thorium Ore
nuclearcraft:ore:4, Uranium Ore
nuclearcraft:ore:5, Boron Ore
nuclearcraft:ore:6, Lithium Ore
nuclearcraft:ore:7, Magnesium Ore
nuclearcraft:ingot_block:0, Copper Block
nuclearcraft:ingot_block:1, Tin Block
nuclearcraft:ingot_block:2, Lead Block
nuclearcraft:ingot_block:3, Thorium Block
nuclearcraft:ingot_block:4, Uranium Block
nuclearcraft:ingot_block:5, Boron Block
nuclearcraft:ingot_block:6, Lithium Block
nuclearcraft:ingot_block:7, Magnesium Block
nuclearcraft:ingot_block:8, Graphite Block
nuclearcraft:ingot_block:9, Beryllium Block
nuclearcraft:ingot_block:10, Zirconium Block
nuclearcraft:ingot_block:11, Manganese Block
nuclearcraft:ingot_block:12, Aluminum Block
nuclearcraft:ingot_block:13, Silver Block
nuclearcraft:fission_block:0, Fission Reactor Casing
nuclearcraft:fission_block:1, Blast Block
nuclearcraft:reactor_casing_transparent, Transparent Fission Reactor Casing
nuclearcraft:cell_block, Reactor Cell
nuclearcraft:cooler:0, Empty Cooler
nuclearcraft:cooler:1, Water Cooler
nuclearcraft:cooler:2, Redstone Cooler
nuclearcraft:cooler:3, Quartz Cooler
nuclearcraft:cooler:4, Gold Cooler
nuclearcraft:cooler:5, Glowstone Cooler
nuclearcraft:cooler:6, Lapis Cooler
nuclearcraft:cooler:7, Diamond Cooler
nuclearcraft:cooler:8, Liquid Helium Cooler
nuclearcraft:cooler:9, Enderium Cooler
nuclearcraft:cooler:10, Cryotheum Cooler
nuclearcraft:cooler:11, Iron Cooler
nuclearcraft:cooler:12, Emerald Cooler
nuclearcraft:cooler:13, Copper Cooler
nuclearcraft:cooler:14, Tin Cooler
nuclearcraft:cooler:15, Magnesium Cooler
nuclearcraft:reactor_door, Reactor Door
nuclearcraft:reactor_trapdoor, Reactor Trapdoor
nuclearcraft:block_depleted_thorium, Thorium-230 Block
nuclearcraft:block_depleted_uranium, Uranium-238 Block
nuclearcraft:block_depleted_neptunium, Neptunium-237 Block
nuclearcraft:block_depleted_plutonium, Plutonium-242 Block
nuclearcraft:block_depleted_americium, Americium-243 Block
nuclearcraft:block_depleted_curium, Curium-246 Block
nuclearcraft:block_depleted_berkelium, Berkelium-247 Block
nuclearcraft:block_depleted_californium, Californium-252 Block
nuclearcraft:block_ice, Supercold Ice
nuclearcraft:nuclear_furnace_idle, Nuclear Furnace
nuclearcraft:nuclear_furnace_active, Nuclear Furnace
nuclearcraft:manufactory_idle, Manufactory
nuclearcraft:manufactory_active, Manufactory
nuclearcraft:isotope_separator_idle, Isotope Separator
nuclearcraft:isotope_separator_active, Isotope Separator
nuclearcraft:decay_hastener_idle, Decay Hastener
nuclearcraft:decay_hastener_active, Decay Hastener
nuclearcraft:fuel_reprocessor_idle, Fuel Reprocessor
nuclearcraft:fuel_reprocessor_active, Fuel Reprocessor
nuclearcraft:alloy_furnace_idle, Alloy Furnace
nuclearcraft:alloy_furnace_active, Alloy Furnace
nuclearcraft:infuser_idle, Fluid Infuser
nuclearcraft:infuser_active, Fluid Infuser
nuclearcraft:melter_idle, Melter
nuclearcraft:melter_active, Melter
nuclearcraft:supercooler_idle, Supercooler
nuclearcraft:supercooler_active, Supercooler
nuclearcraft:electrolyser_idle, Electrolyzer
nuclearcraft:electrolyser_active, Electrolyzer
nuclearcraft:irradiator_idle, Neutron Irradiator
nuclearcraft:irradiator_active, Neutron Irradiator
nuclearcraft:ingot_former_idle, Ingot Former
nuclearcraft:ingot_former_active, Ingot Former
nuclearcraft:pressurizer_idle, Pressurizer
nuclearcraft:pressurizer_active, Pressurizer
nuclearcraft:chemical_reactor_idle, Chemical Reactor
nuclearcraft:chemical_reactor_active, Chemical Reactor
nuclearcraft:salt_mixer_idle, Salt Mixer
nuclearcraft:salt_mixer_active, Salt Mixer
nuclearcraft:crystallizer_idle, Crystallizer
nuclearcraft:crystallizer_active, Crystallizer
nuclearcraft:dissolver_idle, Fluid Enricher
nuclearcraft:dissolver_active, Fluid Enricher
nuclearcraft:extractor_idle, Fluid Extractor
nuclearcraft:extractor_active, Fluid Extractor
nuclearcraft:centrifuge_idle, Centrifuge
nuclearcraft:centrifuge_active, Centrifuge
nuclearcraft:rock_crusher_idle, Rock Crusher
nuclearcraft:rock_crusher_active, Rock Crusher
nuclearcraft:machine_interface, Machine Interface
nuclearcraft:fission_controller_idle, Fission Controller (Old)
nuclearcraft:fission_controller_active, Fission Controller
nuclearcraft:fission_controller_new_idle, Fission Controller
nuclearcraft:fission_controller_new_active, Fission Controller
nuclearcraft:fission_controller_new_fixed, Fission Controller
nuclearcraft:fission_port, Fission Reactor Port
nuclearcraft:fusion_core, Fusion Core
nuclearcraft:fusion_dummy_side, Fusion Core
nuclearcraft:fusion_dummy_top, Fusion Core
nuclearcraft:fusion_connector, Fusion Connector
nuclearcraft:rtg_uranium, Uranium RTG
nuclearcraft:rtg_plutonium, Plutonium RTG
nuclearcraft:rtg_americium, Americium RTG
nuclearcraft:rtg_californium, Californium RTG
nuclearcraft:solar_panel_basic, Basic Solar Panel
nuclearcraft:solar_panel_advanced, Advanced Solar Panel
nuclearcraft:solar_panel_du, DU Solar Panel
nuclearcraft:solar_panel_elite, Elite Solar Panel
nuclearcraft:decay_generator, Decay Generator
nuclearcraft:voltaic_pile_basic, Basic Voltaic Pile
nuclearcraft:voltaic_pile_advanced, Advanced Voltaic Pile
nuclearcraft:voltaic_pile_du, DU Voltaic Pile
nuclearcraft:voltaic_pile_elite, Elite Voltaic Pile
nuclearcraft:lithium_ion_battery_basic, Basic Lithium Ion Battery
nuclearcraft:lithium_ion_battery_advanced, Advanced Lithium Ion Battery
nuclearcraft:lithium_ion_battery_du, DU Lithium Ion Battery
nuclearcraft:lithium_ion_battery_elite, Elite Lithium Ion Battery
nuclearcraft:buffer, Buffer
nuclearcraft:active_cooler, Active Fluid Cooler
nuclearcraft:bin, Universal Bin
nuclearcraft:fusion_electromagnet_idle, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_active, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_idle, Transparent Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_active, Transparent Fusion Electromagnet
